movie_id,title,user_id,rating
19995,Avatar,20,4
285,Pirates of the Caribbean: At World's End,89,1
206647,Spectre,70,2
49026,The Dark Knight Rises,73,5
49529,John Carter,76,2
559,Spider-Man 3,1,5
38757,Tangled,87,1
99861,Avengers: Age of Ultron,36,1
767,Harry Potter and the Half-Blood Prince,14,3
209112,Batman v Superman: Dawn of Justice,91,5
1452,Superman Returns,98,3
10764,Quantum of Solace,49,2
58,Pirates of the Caribbean: Dead Man's Chest,85,4
57201,The Lone Ranger,24,3
49521,Man of Steel,19,4
2454,The Chronicles of Narnia: Prince Caspian,95,1
24428,The Avengers,66,1
1865,Pirates of the Caribbean: On Stranger Tides,99,4
41154,Men in Black 3,53,1
122917,The Hobbit: The Battle of the Five Armies,42,3
1930,The Amazing Spider-Man,61,5
20662,Robin Hood,9,4
57158,The Hobbit: The Desolation of Smaug,30,4
2268,The Golden Compass,4,2
254,King Kong,77,2
597,Titanic,85,5
271110,Captain America: Civil War,100,3
44833,Battleship,100,1
135397,Jurassic World,53,2
37724,Skyfall,15,1
558,Spider-Man 2,35,4
68721,Iron Man 3,88,3
12155,Alice in Wonderland,39,1
36668,X-Men: The Last Stand,44,4
62211,Monsters University,90,2
8373,Transformers: Revenge of the Fallen,27,4
91314,Transformers: Age of Extinction,71,1
68728,Oz: The Great and Powerful,23,3
102382,The Amazing Spider-Man 2,19,5
20526,TRON: Legacy,22,1
49013,Cars 2,78,4
44912,Green Lantern,59,2
10193,Toy Story 3,95,1
534,Terminator Salvation,96,4
168259,Furious 7,67,5
72190,World War Z,11,4
127585,X-Men: Days of Future Past,92,4
54138,Star Trek Into Darkness,99,3
81005,Jack the Giant Slayer,9,4
64682,The Great Gatsby,91,2
9543,Prince of Persia: The Sands of Time,11,3
68726,Pacific Rim,98,5
38356,Transformers: Dark of the Moon,23,4
217,Indiana Jones and the Kingdom of the Crystal Skull,42,4
105864,The Good Dinosaur,15,5
62177,Brave,23,4
188927,Star Trek Beyond,85,1
10681,WALL·E,80,1
5174,Rush Hour 3,31,2
14161,2012,29,2
17979,A Christmas Carol,91,5
76757,Jupiter Ascending,40,5
258489,The Legend of Tarzan,58,4
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",83,2
246655,X-Men: Apocalypse,28,2
155,The Dark Knight,51,4
14160,Up,79,4
15512,Monsters vs Aliens,81,4
1726,Iron Man,26,3
44826,Hugo,8,3
8487,Wild Wild West,12,5
1735,The Mummy: Tomb of the Dragon Emperor,3,5
297761,Suicide Squad,83,3
2698,Evan Almighty,61,3
137113,Edge of Tomorrow,88,1
9804,Waterworld,58,5
14869,G.I. Joe: The Rise of Cobra,30,5
150540,Inside Out,70,4
278927,The Jungle Book,60,2
10138,Iron Man 2,88,4
58595,Snow White and the Huntsman,33,4
102651,Maleficent,40,5
119450,Dawn of the Planet of the Apes,99,1
79698,The Lovers,94,4
64686,47 Ronin,11,4
100402,Captain America: The Winter Soldier,79,5
10192,Shrek Forever After,42,4
158852,Tomorrowland,66,2
177572,Big Hero 6,55,5
82690,Wreck-It Ralph,81,3
5255,The Polar Express,14,5
47933,Independence Day: Resurgence,92,3
10191,How to Train Your Dragon,43,4
296,Terminator 3: Rise of the Machines,59,4
118340,Guardians of the Galaxy,36,4
157336,Interstellar,5,2
27205,Inception,18,4
